Fuente,Tipo,Tipo Colav,Entidad Actual,COAR Contolled Vocabularies for Repositories,Tab interface,link impactu,% sobre artículos Udea,count,Notas
scholar,article,Artículo,works,Resource Types: journal article,productos,,100,,
scholar,book,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
scholar,incollection,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scholar_incollection,1,,
scholar,inproceedings,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scholar_inproceedings,,,
scholar,mastersthesis,Tesis de Maestría,works,Controlled Vocabularies for Repositories: master thesis,productos,,,,
scholar,misc,Otro,works,,productos,,,,Prioridad OpenAlex
scholar,phdthesis,Tesis de  Doctorado,works,Controlled Vocabularies for Repositories: doctoral thesis,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scholar_phdthesis,,,
scholar,techreport,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scholar_techreport,0,,
openalex,article,Artículo,works,Resource Types: journal article,productos,,100,,Journal articles and conference articles
openalex,book,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
openalex,book-chapter,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,46252
openalex,dataset,Dataset,works,Controlled Vocabularies for Repositories: dataset,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?product_types=openalex_dataset,,,
openalex,dissertation,Tesis sin definir,works,Controlled Vocabularies for Repositories: thesis,productos,,,,
openalex,editorial,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_editorial,0.58,,
openalex,erratum,Errata,works,Controlled Vocabularies for Repositories: corrigendum,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_erratum,0.12,,
openalex,grant,Proyecto,works,,productos,,,,
openalex,letter,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_letter,0.47,,
openalex,libguides,Otro,works,,productos,https://impactu.colav.co/search/works?product_types=openalex_libguides,0,,"Guías de Investigación: LibGuides are subject-oriented research guides created by librarians. They're essentially curated collections of resources on a specific topic, presented in a user-friendly website format. "
openalex,other,Otro,works,,productos,,,,
openalex,paratext,Otro,works,,productos,,,,
openalex,peer-review,Otro,works,,productos,,,,
openalex,preprint,Preprint,works,Controlled Vocabularies for Repositories: preprint,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_preprint,1.65,,
openalex,reference-entry,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?product_types=openalex_reference-entry,0.03,,Ejemplo: https://www.qeios.com/read/78QROA
openalex,report,Documento de trabajo,works,Resource Types: working paper,productos,,,,Requerido por Minciencias 
openalex,retraction,Artículo retractado,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_retraction,,,Necesario para saber si el artículo no está retractado
openalex,review,Artículo de revisión,works,Controlled Vocabularies for Repositories: review article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=openalex_review,2.55,,
openalex,standard,Otro,works,,productos,,0,,Ejemplo: https://doi.org/10.1148/cases.20201754 
openalex,supplementary-materials,Otro,works,,productos,,,,
minciencias,Apropiación social del conocimiento:   Artículos,Artículo,works,Resource Types: journal article,productos,,100,,
minciencias,Apropiación social del conocimiento:   Boletín divulgativo de resultado de investigación,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Bolet%C3%ADn+divulgativo+de+resultado+de+investigaci%C3%B3n,0.73,,https://impactu.colav.co/search/works?max=10&page=1&sort=citations_desc&product_types=minciencias_Bolet%C3%ADn+divulgativo+de+resultado+de+investigaci%C3%B3n
minciencias,Apropiación social del conocimiento:   Capítulos de libro,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,https://impactu.colav.co/search/works?max=10&page=1&sort=citations_desc&product_types=minciencias_Cap%C3%ADtulos+de+libro
minciencias,Apropiación social del conocimiento:   Consultoría científico-técnica,,works_misc,,,,,18735,
minciencias,"Apropiación social del conocimiento:   Consultoría en artes, arquitectura y diseño",,,,,,,,
minciencias,Apropiación social del conocimiento:   Documento de trabajo,Documento de trabajo,works,Resource Types: working paper,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Documento+de+trabajo,3.83,,
minciencias,Apropiación social del conocimiento:   Edicion,,,,,,,,
minciencias,Apropiación social del conocimiento:   Espacios de participación ciudadana,,,,,,,,
minciencias,Apropiación social del conocimiento:   Estrategia de comunicación del conocimiento,,,,,,,,
minciencias,Apropiación social del conocimiento:   Estrategias pedagógicas para el fomento a la CTI,,works_misc,,,,,9972,
minciencias,Apropiación social del conocimiento:   Evento científico,,events,,,,,,
minciencias,Apropiación social del conocimiento:   Eventos artísticos,,events,,,,,,
minciencias,Apropiación social del conocimiento:   Generación de contenido de audio,,,,,,,,
minciencias,Apropiación social del conocimiento:   Generación de contenido impresa,Otro,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?product_types=minciencias_Generaci%C3%B3n+de+contenido+impresa,0.17,,Prioridad OpenAlex
minciencias,Apropiación social del conocimiento:   Generación de contenido multimedia,,works_misc,,,,,12662,
minciencias,Apropiación social del conocimiento:   Generación de contenido virtual,,,,,,,,
minciencias,Apropiación social del conocimiento:   Informe Final de Investigación,Informe de investigación,works,Controlled Vocabularies for Repositories: research report,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Informe+Final+de+Investigaci%C3%B3n,5.49,,
minciencias,Apropiación social del conocimiento:   Libros,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
minciencias,Apropiación social del conocimiento:   Notas científica,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Notas+cient%C3%ADfica,0.08,,
